[1] 機關就廠商所提出之同等品比較表等資料，其採開會審查者，應成立審查委員會，並準用採購評選委員會組織準則第4條第1項有關組成人數之規定。
1. O
2. X

[2] 機關依採購法第72條規定辦理減價收受，其減價之金額，尚無須依採購法第46條規定訂定底價。
1. O
2. X

[3] 機關辦理委託專業服務廠商評選採固定費用或費率者，評選優勝廠商時，廠商報價應列為評選項目之一，並至少占20%以上配分。
1. O
2. X

[4] 技師於履約最終成果圖其中一份正本逐頁簽署並蓋執業圖記，其餘影本得於首頁簽署並加蓋執業圖記即可。

1. O
2. X

[5] 意圖使機關規劃、設計、承辦、監辦採購人員或受機關委託提供採購規劃、設計或專案管理或代辦採購廠商之人員，就與採購有關事項，不為決定或為違反其本意之決定，而施強暴、脅迫者，處1年以上7年以下有期徒刑，得併科新臺幣300萬元以下罰金。未遂犯罰之。
1. O
2. X

[6] 機關辦理公告金額以上採購之招標，除有特殊情形者外，應於決標日起30日內，將決標結果之公告刊登於政府採購公報，並以書面通知各投標廠商。無法決標者無需刊登公報。
1. O
2. X

[7] 機關依採購法第22條第1項第13款辦理委託研究發展，於擇定研究機構後，仍應就研究主題及範圍，通知該研究機構提出計畫書供機關審查。並於審查通過後，再辦理議價。
1. O
2. X

[8] 依「採購專業人員資格考試訓練發證及管理辦法」之規定，機關辦理採購，其訂定招標文件、招標、決標、訂約、履約管理、驗收及爭議處理，所有採購均應由採購專業人員承辦或經採購專業人員審核、協辦或會辦。
1. O
2. X

[9] 機關依採購法第22條第1項第10款規定與評選設計競賽優勝廠商之議價及決標，如有2家以上廠商為同一優勝序位者，以抽籤決定議價順序。
1. O
2. X

[10] 機關辦理財物承租之採購，其採購金額之計算，均以每月租金之48倍認定之。
1. O
2. X

[11] 機關辦理工程採購之估驗付款作業，應依個案契約約定、政府採購法第73條之1規定辦理。

1. O
2. X

[12] 委託技術服務採服務成本加公費法計費者，廠商應記錄各項費用並提出憑證，該憑證應包括各項費用之發票、收據、紀錄或報表等，除契約另有規定外，憑證得為影本。
1. O
2. X

[13] 機關於招標文件中規定允許一定家數內之廠商共同投標者，以不超過5家為原則。
1. O
2. X

[14] 廠商加入工業或商業團體之證明，除法令另有規定外，不得限制由特定區域之團體出具；投標廠商為外國廠商者，得免附具。
1. O
2. X

[15] 機關辦理未達公告金額之採購，不適用採購法第26條之規定，故於招標文件要求或提及特定之廠牌，並無違反採購法之規定。
1. O
2. X

[16] 機關依採購法第22條第1項第7款之規定辦理巨額採購，於原招標公告及招標文件同時敘明後續擴充之情形，惟因故不辦理後續擴充，機關得主張原有採購如不包含後續擴充係未達巨額之採購，得不適用採購法第111條規定免提報巨額採購使用情形及其效益分析。
1. O
2. X

[17] 政府機關不得依採購法第105條第1項第3款規定向公立學校辦理採購。
1. O
2. X

[18] 採購之驗收不符規定而機關通知廠商限期改善者，其期限依契約規定，契約未規定者，不得為之。
1. O
2. X

